id,name,dt_create
1,"Police uniform","2024-07-12"
2,"Waiter uniform","2024-07-12"
3,"Doctor uniform","2024-07-12"
4,"Dress","2024-07-12"
5,"T-shirt","2024-07-12"
6,"Sweater","2024-07-12"
7,"Swimsuit","2024-07-12"
8,"Jacket","2024-07-12"
9,"Witch hat","2024-07-12"
10,"School uniform","2024-07-12"
11,"Teacher uniform","2024-07-12"
12,"Knight Armor","2024-07-12"
13,"Coat","2024-07-12"
14,"Kimono","2024-07-12"
15,"Ninja uniform","2024-07-12"
16,"Samurai Armor","2024-07-12"
17,"Housemaid uniform","2024-07-12"
18,"Scientist uniform","2024-07-12"
